season,team,team_id,player_id,player_name,first_name,last_name,position,jersey_number,status,game_type
2024,CLE,1050,00-0034364,Jordan Akins,Jordan,Akins,TE,88.0,ACT,REG
2024,GB,1800,00-0036264,Jordan Love,Jordan,Love,QB,10.0,ACT,WC
2024,SF,4500,00-0037525,Jordan Mason,Jordan,Mason,RB,24.0,RES,REG
2024,NO,3300,00-0038678,Jordan Mims,Jordan,Mims,RB,33.0,ACT,REG
2024,NYJ,3430,00-0039797,Jordan Travis,Jordan,Travis,QB,3.0,RES,REG
2024,LA,2510,00-0039751,Jordan Whittington,Jordan,Whittington,WR,88.0,ACT,DIV
2024,KC,2310,00-0035547,Joseph Fortson,Joseph,Fortson,TE,89.0,RES,SB
2024,BUF,610,00-0034857,Josh Allen,Joshua,Allen,QB,17.0,ACT,CON
2024,IND,2200,00-0038997,Josh Downs,Joshua,Downs,WR,1.0,ACT,REG
2024,GB,1800,00-0035700,Josh Jacobs,Joshua,Jacobs,RB,8.0,ACT,WC
2024,BAL,325,00-0026300,Josh Johnson,Joshua,Johnson,QB,17.0,ACT,DIV
2024,MIN,3000,00-0035249,Josh Oliver,Josh,Oliver,TE,84.0,ACT,WC
2024,LAC,4400,00-0036988,Josh Palmer,Josh,Palmer,WR,5.0,INA,WC
2024,JAX,2250,00-0036674,Josh Pederson,Josh,Pederson,TE,87.0,ACT,REG
2024,JAX,2250,00-0033943,Josh Reynolds,Joshua Dedmon-Reynolds,Reynolds,WR,87.0,ACT,REG
2024,TEN,2100,00-0038589,Josh Whyle,Josh,Whyle,TE,81.0,ACT,REG
2024,SF,4500,00-0033949,Joshua Dobbs,Robert,Dobbs,QB,5.0,ACT,REG
2024,LA,2510,00-0039750,Joshua Karty,Joshua,Karty,K,16.0,ACT,DIV
2024,TEN,2100,00-0036370,Joshua Kelley,Joshua,Kelley,RB,25.0,ACT,REG
2024,JAX,2250,00-0036332,Josiah Deguara,Josiah,Deguara,TE,81.0,ACT,REG
2024,KC,2310,00-0033857,JuJu Smith-Schuster,John,Smith-Schuster,WR,9.0,ACT,SB
2024,MIA,2700,00-0038720,Julian Hill,Julian,Hill,TE,89.0,ACT,REG
2024,TEN,2100,00-0037594,Julius Chestnut,Julius,Chestnut,RB,36.0,ACT,REG
2024,BAL,325,00-0034975,Justice Hill,Justice,Hill,RB,43.0,ACT,DIV
