player_id,player_abbr,player_name,position,headshot_url,recent_team,season,week,season_type,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,8,REG,CHI,7,11,77.0,0,0.0,0.0,113.0,14.0,6.0,0.71378803,0,0.6814159,0.32352942,0.2716346,0.67543834,0.0,7.7,14.7
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,9,REG,NYG,1,1,5.0,0,0.0,0.0,3.0,2.0,0.0,-0.14477365,0,1.6666666,0.05263158,0.024793388,0.09630274,0.0,0.5,1.5
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,10,REG,PIT,4,8,31.0,0,0.0,0.0,25.0,10.0,0.0,-4.60891,0,1.24,0.25,0.10729614,0.4501073,0.0,3.1,7.1
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,11,REG,PHI,6,7,47.0,1,0.0,0.0,35.0,15.0,5.0,7.7017283,1,1.3428571,0.21875,0.30701753,0.5430373,0.0,12.7,18.7
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,12,REG,DAL,6,8,38.0,1,0.0,0.0,74.0,5.0,3.0,0.17370978,0,0.5135135,0.23529412,0.26241136,0.53662914,0.0,9.8,15.8
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,13,REG,TEN,3,6,35.0,1,0.0,0.0,40.0,18.0,2.0,-2.0614877,0,0.875,0.2,0.24096386,0.4686747,0.0,9.5,12.5
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,15,REG,NO,2,2,25.0,0,0.0,0.0,15.0,10.0,1.0,2.4532354,0,1.6666666,0.06451613,0.056818184,0.13654692,0.0,2.5,4.5
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,16,REG,PHI,1,2,12.0,0,0.0,0.0,17.0,1.0,1.0,0.2925737,0,0.7058824,0.055555556,0.059859157,0.12523474,0.0,1.2,2.2
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,17,REG,ATL,6,7,72.0,2,0.0,0.0,48.0,38.0,4.0,9.0524025,0,1.5,0.2,0.1983471,0.43884298,0.0,19.2,25.2
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,18,REG,DAL,5,5,44.0,1,0.0,0.0,32.0,12.0,3.0,2.7889059,0,1.375,0.16666667,0.103896104,0.32272726,0.0,10.4,15.4
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,19,POST,TB,2,4,23.0,0,0.0,0.0,30.0,3.0,2.0,0.78662246,0,0.76666665,0.125,0.15789473,0.29802632,0.0,2.3,4.3
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,20,POST,DET,5,5,28.0,1,0.0,0.0,22.0,6.0,2.0,5.26438,0,1.2727273,0.1724138,0.13017751,0.34974495,0.0,8.8,13.8
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,21,POST,PHI,11,16,104.0,0,0.0,0.0,119.0,30.0,9.0,10.616386,0,0.8739496,0.34042552,0.33903134,0.7479602,0.0,10.4,21.4
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,1,REG,TEN,4,11,29.0,0,0.0,0.0,105.0,15.0,2.0,-2.8860872,0,0.2761905,0.37931034,0.4906542,0.91242343,0.0,2.9,6.9
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,4,REG,LA,3,3,19.0,0,0.0,0.0,7.0,12.0,1.0,1.0564849,0,2.7142856,0.13636364,0.047945205,0.2381071,0.0,1.9,4.9
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,5,REG,CAR,3,6,33.0,0,0.0,0.0,45.0,12.0,1.0,-1.0000513,0,0.73333335,0.21428572,0.22727273,0.48051947,0.0,3.3,6.3
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,6,REG,JAX,5,5,41.0,2,0.0,0.0,34.0,7.0,5.0,10.620362,0,1.2058823,0.1923077,0.33009708,0.5195295,0.0,16.1,21.1
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,8,REG,WAS,2,7,39.0,0,0.0,0.0,96.0,13.0,2.0,-1.0703384,0,0.40625,0.33333334,0.34532374,0.74172664,0.0,3.9,5.9
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,9,REG,ARI,4,10,36.0,0,0.0,0.0,131.0,4.0,3.0,-3.4905825,0,0.27480915,0.2777778,0.36901408,0.6749765,0.0,3.6,7.6
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,10,REG,NE,5,6,44.0,0,0.0,0.0,39.0,16.0,2.0,-0.15888649,0,1.1282052,0.23076923,0.22807017,0.505803,0.0,4.4,9.4
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,11,REG,GB,4,8,41.0,0,0.0,0.0,65.0,10.0,2.0,-1.9464102,0,0.63076925,0.2580645,0.30660376,0.60171944,0.0,4.1,8.1
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,12,REG,MIN,9,15,86.0,1,1.0,0.0,122.0,31.0,4.0,-2.2906873,0,0.704918,0.31914893,0.33701658,0.714635,0.0,14.6,23.6
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,13,REG,DET,5,8,73.0,2,0.0,0.0,115.0,15.0,3.0,6.8024282,0,0.6347826,0.22222222,0.25386313,0.5110375,0.0,19.3,24.3
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,14,REG,SF,3,5,30.0,0,0.0,0.0,37.0,11.0,3.0,1.6849787,0,0.8108108,0.20833333,0.2642857,0.4975,0.0,3.0,6.0
