season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,headshot_url,week,game_type
2024,HOU,WR,WR,88.0,DEV,Johnny Johnson III,Johnny,Johnson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u2syumzxevvv6bfkuttf",20,DIV
2024,PHI,DB,FS,36.0,ACT,Tristin McCollum,Tristin,McCollum,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q8kdlu6gicjcgghbmnx3",22,SB
2024,NYG,DB,SS,43.0,RES,Raheem Layne,Raheem,Layne,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wof6kufthckakmcv7rxu",18,REG
2024,BUF,LB,LB,45.0,DEV,Tyreek Maddox-Williams,Tyreek,Maddox-Williams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ykq7pksgncim43ktn8vx",21,CON
2024,LAC,DL,DE,59.0,CUT,Ty Shelby,Ty,Shelby,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r95yblkfziej5jumrmbf",1,REG
2024,LAC,TE,TE,84.0,ACT,Stone Smartt,Stone,Smartt,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tazdjztvhpulguzuh78l",19,WC
2024,PIT,OL,T,60.0,DEV,Dylan Cook,Dylan,Cook,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vs5gwmafqhsuu6rgcc1j",19,WC
2024,LA,LB,ILB,54.0,CUT,Olakunle Fatukasi,Olakunle,Fatukasi,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qfsjnlwganiofilfdvph",1,REG
2024,PIT,DB,CB,42.0,CUT,Kyler McMichael,Kyler,McMichael,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dvkm7eyudk8hwmmlvwmp",1,REG
2024,CAR,WR,WR,13.0,INA,Deven Thompkins,Deven,Thompkins,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gt0yeyl9y8s6onw8wcdr",18,REG
2024,TB,LB,ILB,51.0,ACT,J.J. Russell,Javarius,Russell,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ogzsthxpcatfqo6hwnjo",19,WC
2024,TEN,DB,FS,44.0,ACT,Mike Brown,Michael,Brown,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpfrvm1asukelu1i72yj",18,REG
2024,SEA,RB,RB,40.0,RET,Bryant Koback,Bryant,Koback,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yay4st8ox4rr8rtj1jij",18,REG
2024,DAL,LB,OLB,53.0,DEV,Luiji Vilain,Luiji,Vilain,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/coe0imw4gitw3llihwz1",18,REG
2024,MIN,P,P,17.0,ACT,Ryan Wright,Ryan,Wright,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fuctuhdnsytjhlgap8dz",19,WC
2024,LV,LB,ILB,58.0,CUT,Darien Butler,Darien,Butler,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y3otjr6a2eb4smteiugb",1,REG
2024,LV,TE,TE,83.0,CUT,Cole Fotheringham,Cole,Fotheringham,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stshlkkfc995vk5tuhtd",16,REG
2024,MIN,WR,WR,49.0,CUT,Justin Hall,Justin,Hall,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h5vesumpp5vrsnuqznkg",1,REG
2024,LV,RB,RB,28.0,RES,Sincere McCormick,Sincere,McCormick,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esocauqmcswp4jolgnom",18,REG
2024,LV,DB,FS,20.0,ACT,Isaiah Pola-Mao,Isaiah,Pola-Mao,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qgwwexwt0ubk6yzqub0k",18,REG
2024,LA,LB,OLB,57.0,DEV,Zach VanValkenburg,Zach,VanValkenburg,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yczkg02wj4bqzue9fxcw",8,REG
2024,LV,DB,CB,27.0,ACT,Sam Webb,Sam,Webb,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iejko9losmuipy3mmxht",18,REG
2024,LV,LB,OLB,59.0,RES,Luke Masterson,Luke,Masterson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fwfobtgnbj9tdku4vuwd",18,REG
2024,SF,DB,SS,41.0,CUT,Tayler Hawkins,Tayler,Hawkins,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fy8lsab65a6ojkzy1l0h",1,REG
2024,TEN,WR,WR,18.0,ACT,Tay Martin,Dovontavean,Martin,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lw5fyir7yjme4qxrrxfy",18,REG
2024,SF,RB,RB,24.0,RES,Jordan Mason,Jordan,Mason,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ub1ub6sxuov1f1kux1v9",18,REG
2024,NYJ,LB,ILB,41.0,ACT,Marcelino McCrary-Ball,Marcelino,McCrary-Ball,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nus1g2oly0ld6dy7tmdk",18,REG
2024,IND,LB,MLB,50.0,ACT,Segun Olubi,Segun,Olubi,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ow16svwnbsylrg17myne",18,REG
2024,PHI,OL,G,59.0,CUT,Jason Poe,Jason,Poe,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sy2usck4lxgdb2swf2ik",1,REG
2024,CLE,DB,CB,31.0,CUT,Vincent Gray,Vincent,Gray,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vhytpfaf37di9ntixdfv",1,REG
2024,SF,OL,G,69.0,CUT,Lewis Kidd,Lewis,Kidd,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/atjkzb137a66echna95q",1,REG
2024,DEN,TE,TE,85.0,ACT,Lucas Krull,Lucas,Krull,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v3rdtydz7dh4s5oyzejs",19,WC
2024,NE,K,K,96.0,DEV,John Parker Romo,John Parker,Romo,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pgbqca2tf4hcq4vxv13m",18,REG
2024,NO,LB,MLB,45.0,ACT,Nephi Sewell,Nephi,Sewell,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qmccgy5kvcviyzxmr0f8",18,REG
2024,NO,WR,WR,22.0,RES,Rashid Shaheed,Rashid,Shaheed,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mnaref4vwyau8mbsp0ri",18,REG
2024,GB,P,P,19.0,ACT,Daniel Whelan,Daniel,Whelan,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dup6qxxzcuydjfzjn3t7",19,WC
2024,TEN,DB,CB,39.0,ACT,Darrell Baker Jr.,Darrell,Baker,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jvblrleyv3vahveih7fc",18,REG
2024,SF,WR,WR,84.0,CUT,Jontre Kirklin,Jontre,Kirklin,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/umarkd6lnlkj7nbzbwfv",1,REG
2024,LA,RB,RB,20.0,ACT,Ronnie Rivers,Ronnie,Rivers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xjumjdizgaw4gicg6gbb",20,DIV
2024,CAR,LB,ILB,57.0,ACT,Chandler Wooten,Chandler,Wooten,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xil7lf1lnywgdsc8wclv",18,REG
2024,DAL,DB,FS,14.0,RES,Markquese Bell,Markquese,Bell,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vtqjsdpik2m6dnmfh6of",18,REG
2024,DAL,RB,RB,34.0,DEV,Malik Davis,Malik,Davis,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mdjhv8xuitxkn7oefwty",18,REG
2024,KC,TE,TE,88.0,ACT,Peyton Hendershot,Peyton,Hendershot,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d8plvjsvwdadr1ap93ci",22,SB
