player_id,player_name,position,recent_team,week,season_type,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr,targets_per_game,receptions_per_game,receiving_yards_per_game,receiving_tds_per_game,catch_pct,yards_per_catch,yards_per_target,air_yards_per_target,yac_per_reception,td_per_target,first_down_per_target,targets_per_game_rolling_3,receptions_per_game_rolling_3,receiving_yards_per_game_rolling_3,receiving_tds_per_game_rolling_3,catch_pct_rolling_3,yards_per_target_rolling_3,air_yards_per_target_rolling_3,yac_per_reception_rolling_3,td_per_target_rolling_3,first_down_per_target_rolling_3,targets_per_game_rolling_5,receptions_per_game_rolling_5,receiving_yards_per_game_rolling_5,receiving_tds_per_game_rolling_5,catch_pct_rolling_5,yards_per_target_rolling_5,air_yards_per_target_rolling_5,yac_per_reception_rolling_5,td_per_target_rolling_5,first_down_per_target_rolling_5,targets_per_game_season_avg,receptions_per_game_season_avg,receiving_yards_per_game_season_avg,receiving_tds_per_game_season_avg,catch_pct_season_avg,yards_per_target_season_avg,air_yards_per_target_season_avg,yac_per_reception_season_avg,td_per_target_season_avg,first_down_per_target_season_avg
00-0030035,A.Thielen,WR,CAR,1,REG,NO,3.0,4.0,49.0,,,,64.0,18.0,2.0,4.642717,,0.765625,0.13793103,0.18181819,0.33416927,4.9,7.9,4.0,3.0,49.0,,75.0,16.333333333333332,12.25,16.0,6.0,,0.5,4.0,3.0,49.0,,75.0,12.25,16.0,6.0,,0.5,4.0,3.0,49.0,,75.0,12.25,16.0,6.0,,0.5,4.0,3.0,49.0,,75.0,12.25,16.0,6.0,,0.5
00-0030035,A.Thielen,WR,CAR,2,REG,LAC,2.0,3.0,20.0,,,,18.0,2.0,1.0,-2.4589026,,1.1111112,0.115384616,0.23376623,0.33671328,2.0,4.0,3.0,2.0,20.0,,66.66666666666666,10.0,6.666666666666667,6.0,1.0,,0.3333333333333333,3.5,2.5,34.5,,70.83333333333333,9.458333333333334,11.0,3.5,,0.41666666666666663,3.5,2.5,34.5,,70.83333333333333,9.458333333333334,11.0,3.5,,0.41666666666666663,3.5,2.5,34.5,,70.83333333333333,9.458333333333334,11.0,3.5,,0.41666666666666663
00-0030035,A.Thielen,WR,CAR,3,REG,LV,3.0,5.0,40.0,1.0,,,44.0,5.0,2.0,3.0564163,,0.90909094,0.13513513,0.20560747,0.34662795,10.0,13.0,5.0,3.0,40.0,1.0,60.0,13.333333333333334,8.0,8.8,1.6666666666666667,0.2,0.4,4.0,2.6666666666666665,36.333333333333336,1.0,67.22222222222221,8.972222222222223,10.266666666666667,2.888888888888889,0.2,0.41111111111111115,4.0,2.6666666666666665,36.333333333333336,1.0,67.22222222222221,8.972222222222223,10.266666666666667,2.888888888888889,0.2,0.41111111111111115,4.0,2.6666666666666665,36.333333333333336,1.0,67.22222222222221,8.972222222222223,10.266666666666667,2.888888888888889,0.2,0.41111111111111115
00-0030035,A.Thielen,WR,CAR,12,REG,KC,3.0,4.0,57.0,,,,34.0,35.0,2.0,4.7300467,,1.6764706,0.121212125,0.116838485,0.26360512,5.7,8.7,4.0,3.0,57.0,,75.0,19.0,14.25,8.5,11.666666666666666,,0.5,4.0,2.6666666666666665,39.0,1.0,67.22222222222221,9.63888888888889,7.766666666666667,4.777777777777778,0.2,0.41111111111111115,4.0,2.75,41.5,1.0,69.16666666666666,10.291666666666668,9.825,5.083333333333333,0.2,0.43333333333333335,4.0,2.75,41.5,1.0,69.16666666666666,10.291666666666668,9.825,5.083333333333333,0.2,0.43333333333333335
00-0030035,A.Thielen,WR,CAR,13,REG,TB,8.0,10.0,99.0,1.0,,,112.0,23.0,4.0,6.2343655,,0.8839286,0.24390244,0.27930173,0.5613649,15.9,23.9,10.0,8.0,99.0,1.0,80.0,12.375,9.9,11.2,2.875,0.1,0.4,6.333333333333333,4.666666666666667,65.33333333333333,1.0,71.66666666666667,10.716666666666667,9.5,5.402777777777778,0.15000000000000002,0.43333333333333335,5.2,3.8,53.0,1.0,71.33333333333333,10.213333333333335,10.1,4.641666666666667,0.15000000000000002,0.42666666666666664,5.2,3.8,53.0,1.0,71.33333333333333,10.213333333333335,10.1,4.641666666666667,0.15000000000000002,0.42666666666666664
00-0030035,A.Thielen,WR,CAR,14,REG,PHI,9.0,11.0,102.0,,,,130.0,13.0,7.0,8.989361,,0.7846154,0.33333334,0.3561644,0.7493151,10.2,19.2,11.0,9.0,102.0,,81.81818181818183,11.333333333333334,9.272727272727273,11.818181818181818,1.4444444444444444,,0.6363636363636364,8.333333333333334,6.666666666666667,86.0,1.0,78.93939393939394,11.14090909090909,10.506060606060606,5.328703703703703,0.1,0.5121212121212121,6.6,5.0,63.6,1.0,72.6969696969697,9.617878787878789,9.263636363636364,3.730555555555555,0.15000000000000002,0.4539393939393939,6.166666666666667,4.666666666666667,61.166666666666664,1.0,73.08080808080808,10.056565656565658,10.386363636363637,4.108796296296296,0.15000000000000002,0.4616161616161616
00-0030035,A.Thielen,WR,CAR,15,REG,DAL,5.0,7.0,51.0,,,,62.0,26.0,1.0,-2.7258732,,0.82258064,0.25925925,0.2952381,0.59555554,5.1,10.1,7.0,5.0,51.0,,71.42857142857143,10.2,7.285714285714286,8.857142857142858,5.2,,0.14285714285714285,9.333333333333334,7.333333333333333,84.0,1.0,77.74891774891775,8.81948051948052,10.625108225108226,3.1731481481481487,0.1,0.3930735930735931,7.4,5.6,69.8,1.0,73.64935064935067,9.741688311688312,9.835064935064935,4.570555555555556,0.15000000000000002,0.41584415584415585,6.285714285714286,4.714285714285714,59.714285714285715,1.0,72.8447742733457,9.660729746444032,10.167903525046382,4.26468253968254,0.15000000000000002,0.4160791589363018
00-0030035,A.Thielen,WR,CAR,16,REG,ARI,5.0,6.0,43.0,1.0,,,62.0,7.0,4.0,6.8825684,,0.6935484,0.25,0.410596,0.66241723,10.3,15.3,6.0,5.0,43.0,1.0,83.33333333333334,8.6,7.166666666666667,10.333333333333334,1.4,0.16666666666666666,0.6666666666666666,8.0,6.333333333333333,65.33333333333333,1.0,78.86002886002886,7.908369408369407,10.336219336219337,2.6814814814814816,0.16666666666666666,0.481962481962482,7.6,6.0,70.4,1.0,78.31601731601732,9.575021645021646,10.141731601731603,4.517222222222221,0.13333333333333333,0.4691774891774892,6.25,4.75,57.625,1.0,74.15584415584416,9.348971861471862,10.188582251082252,3.906597222222222,0.15555555555555556,0.4474025974025974
00-0030035,A.Thielen,WR,CAR,17,REG,TB,5.0,6.0,110.0,2.0,,,113.0,12.0,4.0,9.249335,,0.9734513,0.27272728,0.37171054,0.6692883,23.0,28.0,6.0,5.0,110.0,2.0,83.33333333333334,22.0,18.333333333333332,18.833333333333332,2.4,0.3333333333333333,0.6666666666666666,6.333333333333333,5.0,68.0,1.5,79.36507936507937,10.928571428571429,12.674603174603172,3.0,0.25,0.4920634920634921,8.0,6.4,81.0,1.3333333333333333,79.982683982684,10.391688311688311,12.208398268398266,2.6638888888888888,0.19999999999999998,0.5025108225108225,6.222222222222222,4.777777777777778,63.44444444444444,1.25,75.17556517556517,10.347234247234248,11.14911014911015,3.739197530864198,0.2,0.4717652717652718
00-0030035,A.Thielen,WR,CAR,18,REG,ATL,5.0,6.0,44.0,,,,53.0,11.0,1.0,1.829049,,0.8301887,0.17142858,0.17096774,0.37682027,4.4,9.4,6.0,5.0,44.0,,83.33333333333334,8.8,7.333333333333333,8.833333333333334,2.2,,0.16666666666666666,6.0,5.0,65.66666666666667,1.5,83.33333333333334,10.944444444444445,12.666666666666666,2.0,0.25,0.5,7.2,5.8,70.0,1.5,80.64935064935065,9.878354978354979,11.735064935064935,2.528888888888889,0.25,0.4558441558441559,6.2,4.8,61.5,1.25,75.991341991342,10.045844155844156,10.917532467532467,3.5852777777777773,0.2,0.4412554112554113
00-0030279,K.Allen,WR,CHI,1,REG,TEN,4.0,11.0,29.0,,,,105.0,15.0,2.0,-2.8860872,,0.2761905,0.37931034,0.4906542,0.91242343,2.9,6.9,11.0,4.0,29.0,,36.36363636363637,7.25,2.6363636363636362,9.545454545454545,3.75,,0.18181818181818182,11.0,4.0,29.0,,36.36363636363637,2.6363636363636362,9.545454545454545,3.75,,0.18181818181818182,11.0,4.0,29.0,,36.36363636363637,2.6363636363636362,9.545454545454545,3.75,,0.18181818181818182,11.0,4.0,29.0,,36.36363636363637,2.6363636363636362,9.545454545454545,3.75,,0.18181818181818182
00-0030279,K.Allen,WR,CHI,4,REG,LA,3.0,3.0,19.0,,,,7.0,12.0,1.0,1.0564849,,2.7142856,0.13636364,0.047945205,0.2381071,1.9,4.9,3.0,3.0,19.0,,100.0,6.333333333333333,6.333333333333333,2.3333333333333335,4.0,,0.3333333333333333,7.0,3.5,24.0,,68.18181818181819,4.484848484848484,5.9393939393939394,3.875,,0.25757575757575757,7.0,3.5,24.0,,68.18181818181819,4.484848484848484,5.9393939393939394,3.875,,0.25757575757575757,7.0,3.5,24.0,,68.18181818181819,4.484848484848484,5.9393939393939394,3.875,,0.25757575757575757
