player_id,player_name,position,recent_team,week,season_type,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr,targets_per_game,receptions_per_game,receiving_yards_per_game,receiving_tds_per_game,catch_pct,yards_per_catch,yards_per_target,air_yards_per_target,yac_per_reception,td_per_target,first_down_per_target,routes_per_snap,targets_per_game_rolling_3,receptions_per_game_rolling_3,receiving_yards_per_game_rolling_3,receiving_tds_per_game_rolling_3,catch_pct_rolling_3,yards_per_target_rolling_3,air_yards_per_target_rolling_3,yac_per_reception_rolling_3,td_per_target_rolling_3,first_down_per_target_rolling_3,targets_per_game_rolling_5,receptions_per_game_rolling_5,receiving_yards_per_game_rolling_5,receiving_tds_per_game_rolling_5,catch_pct_rolling_5,yards_per_target_rolling_5,air_yards_per_target_rolling_5,yac_per_reception_rolling_5,td_per_target_rolling_5,first_down_per_target_rolling_5,targets_per_game_season_avg,receptions_per_game_season_avg,receiving_yards_per_game_season_avg,receiving_tds_per_game_season_avg,catch_pct_season_avg,yards_per_target_season_avg,air_yards_per_target_season_avg,yac_per_reception_season_avg,td_per_target_season_avg,first_down_per_target_season_avg
00-0030061,Z.Ertz,TE,WAS,10,REG,PIT,4.0,8.0,31.0,,,,25.0,10.0,,-4.60891,,1.24,0.25,0.10729614,0.4501073,3.1,7.1,8.0,4.0,31.0,,50.0,7.75,3.875,3.125,2.5,,,1.24,6.666666666666667,4.0,37.666666666666664,,71.2121212121212,5.291666666666666,5.465909090909091,2.1666666666666665,,0.5454545454545454,6.0,4.0,44.2,1.0,74.72727272727272,7.494999999999999,6.759545454545455,2.85,0.2,0.5818181818181819,5.4,3.7,38.1,1.0,77.36363636363636,7.615833333333333,7.389772727272726,2.316666666666667,0.2,0.496969696969697
00-0030061,Z.Ertz,TE,WAS,11,REG,PHI,6.0,7.0,47.0,1.0,,,35.0,15.0,5.0,7.7017283,1.0,1.3428571,0.21875,0.30701753,0.5430373,12.7,18.7,7.0,6.0,47.0,1.0,85.71428571428571,7.833333333333333,6.714285714285714,5.0,2.5,0.14285714285714285,0.7142857142857143,1.3428571,5.333333333333333,3.6666666666666665,27.666666666666668,1.0,78.57142857142857,5.19642857142857,3.7083333333333335,2.3333333333333335,0.14285714285714285,0.7142857142857143,6.4,4.4,40.0,1.0,75.87012987012987,6.117857142857143,5.919545454545455,2.4,0.17142857142857143,0.5532467532467532,5.545454545454546,3.909090909090909,38.90909090909091,1.0,78.12278630460447,7.533874458874458,7.172520661157024,2.3333333333333335,0.17142857142857143,0.5241341991341991
00-0030061,Z.Ertz,TE,WAS,12,REG,DAL,6.0,8.0,38.0,1.0,,,74.0,5.0,3.0,0.17370978,,0.5135135,0.23529412,0.26241136,0.53662914,9.8,15.8,8.0,6.0,38.0,1.0,75.0,6.333333333333333,4.75,9.25,0.8333333333333334,0.125,0.375,0.5135135,7.666666666666667,5.333333333333333,38.666666666666664,1.0,70.23809523809524,5.113095238095237,5.791666666666667,1.9444444444444444,0.13392857142857142,0.5446428571428572,7.0,4.8,39.6,1.0,74.87012987012987,5.467857142857143,6.129545454545455,1.9666666666666668,0.13392857142857142,0.5449134199134199,5.75,4.083333333333333,38.833333333333336,1.0,77.86255411255411,7.30188492063492,7.345643939393939,2.2083333333333335,0.15595238095238095,0.5075637325637326
00-0030061,Z.Ertz,TE,WAS,13,REG,TEN,3.0,6.0,35.0,1.0,,,40.0,18.0,2.0,-2.0614877,,0.875,0.2,0.24096386,0.4686747,9.5,12.5,6.0,3.0,35.0,1.0,50.0,11.666666666666666,5.833333333333333,6.666666666666667,6.0,0.16666666666666666,0.3333333333333333,0.875,7.0,5.0,40.0,1.0,70.23809523809524,5.765873015873015,6.972222222222222,3.1111111111111107,0.14484126984126985,0.47420634920634924,6.0,4.0,31.2,1.0,72.14285714285714,5.234523809523809,5.408333333333333,2.7666666666666666,0.14484126984126985,0.47420634920634924,5.769230769230769,4.0,38.53846153846154,1.0,75.71928071928072,7.188919413919414,7.293414918414919,2.5,0.15863095238095237,0.4901406926406927
00-0030061,Z.Ertz,TE,WAS,15,REG,NO,2.0,2.0,25.0,,,,15.0,10.0,1.0,2.4532354,,1.6666666,0.06451613,0.056818184,0.13654692,2.5,4.5,2.0,2.0,25.0,,100.0,12.5,12.5,7.5,5.0,,0.5,1.6666666,5.333333333333333,3.6666666666666665,32.666666666666664,1.0,75.0,7.694444444444443,7.805555555555556,3.944444444444444,0.14583333333333334,0.40277777777777785,6.2,4.2,35.2,1.0,72.14285714285714,6.73452380952381,6.308333333333333,3.3666666666666663,0.14484126984126985,0.4806547619047619,5.5,3.857142857142857,37.57142857142857,1.0,77.45361781076066,7.56828231292517,7.308170995670996,2.6785714285714284,0.15863095238095237,0.4910369933097206
00-0030061,Z.Ertz,TE,WAS,16,REG,PHI,1.0,2.0,12.0,,,,17.0,1.0,1.0,0.2925737,,0.7058824,0.055555556,0.059859157,0.12523474,1.2,2.2,2.0,1.0,12.0,,50.0,12.0,6.0,8.5,1.0,,0.5,0.7058824,3.3333333333333335,2.0,24.0,1.0,66.66666666666667,8.111111111111109,7.555555555555556,4.0,0.16666666666666666,0.4444444444444445,5.0,3.6,31.4,1.0,72.14285714285714,7.15952380952381,7.383333333333333,3.0666666666666664,0.14484126984126985,0.48452380952380947,5.266666666666667,3.6666666666666665,35.86666666666667,1.0,75.62337662337661,7.463730158730159,7.387626262626262,2.566666666666667,0.15863095238095237,0.4917839105339106
00-0030061,Z.Ertz,TE,WAS,17,REG,ATL,6.0,7.0,72.0,2.0,,,48.0,38.0,4.0,9.0524025,,1.5,0.2,0.1983471,0.43884298,19.2,25.2,7.0,6.0,72.0,2.0,85.71428571428571,12.0,10.285714285714286,6.857142857142857,6.333333333333333,0.2857142857142857,0.5714285714285714,1.5,3.6666666666666665,3.0,36.333333333333336,2.0,78.57142857142857,9.595238095238095,7.6190476190476195,4.111111111111111,0.2857142857142857,0.5238095238095238,5.0,3.6,36.4,1.3333333333333333,72.14285714285714,7.873809523809524,7.754761904761904,3.833333333333333,0.19246031746031744,0.45595238095238094,5.375,3.8125,38.125,1.2,76.25405844155844,7.640104166666666,7.35447104978355,2.8020833333333335,0.18404761904761904,0.4979104229104229
00-0030061,Z.Ertz,TE,WAS,18,REG,DAL,5.0,5.0,44.0,1.0,,,32.0,12.0,3.0,2.7889059,,1.375,0.16666667,0.103896104,0.32272726,10.4,15.4,5.0,5.0,44.0,1.0,100.0,8.8,8.8,6.4,2.4,0.2,0.6,1.375,4.666666666666667,4.0,42.666666666666664,1.5,78.57142857142857,8.361904761904762,7.252380952380952,3.244444444444444,0.24285714285714285,0.5571428571428572,4.4,3.4,37.6,1.3333333333333333,77.14285714285714,8.683809523809524,7.1847619047619045,4.1466666666666665,0.21746031746031746,0.5009523809523809,5.352941176470588,3.8823529411764706,38.470588235294116,1.1666666666666667,77.65087853323148,7.708333333333333,7.298325693913929,2.7784313725490195,0.1867063492063492,0.5052025355596784
00-0030061,Z.Ertz,TE,WAS,19,POST,TB,2.0,4.0,23.0,,,,30.0,3.0,2.0,0.78662246,,0.76666665,0.125,0.15789473,0.29802632,2.3,4.3,4.0,2.0,23.0,,50.0,11.5,5.75,7.5,1.5,,0.5,0.76666665,5.333333333333333,4.333333333333333,46.333333333333336,1.5,78.57142857142857,8.278571428571428,6.9190476190476184,3.411111111111111,0.24285714285714285,0.5571428571428572,4.0,3.2,35.2,1.5,77.14285714285714,8.667142857142858,7.351428571428572,3.246666666666667,0.24285714285714288,0.5342857142857143,5.277777777777778,3.7777777777777777,37.611111111111114,1.1666666666666667,76.11471861471861,7.599537037037036,7.309529822029822,2.7074074074074073,0.1867063492063492,0.5048556998556999
00-0030061,Z.Ertz,TE,WAS,20,POST,DET,5.0,5.0,28.0,1.0,,,22.0,6.0,2.0,5.26438,,1.2727273,0.1724138,0.13017751,0.34974495,8.8,13.8,5.0,5.0,28.0,1.0,100.0,5.6,5.6,4.4,1.2,0.2,0.4,1.2727273,4.666666666666667,4.0,31.666666666666668,1.0,83.33333333333333,6.716666666666666,6.1000000000000005,1.7,0.2,0.5,4.6,3.8,35.8,1.3333333333333333,77.14285714285714,7.2871428571428565,6.731428571428571,2.486666666666667,0.22857142857142856,0.5142857142857142,5.2631578947368425,3.8421052631578947,37.10526315789474,1.1428571428571428,77.37183868762816,7.494298245614035,7.156396673501936,2.6280701754385962,0.18860544217687075,0.49830221861471863
00-0030061,Z.Ertz,TE,WAS,21,POST,PHI,11.0,16.0,104.0,,,,119.0,30.0,9.0,10.616386,,0.8739496,0.34042552,0.33903134,0.7479602,10.4,21.4,16.0,11.0,104.0,,68.75,9.454545454545455,6.5,7.4375,2.727272727272727,,0.5625,0.8739496,8.333333333333334,6.0,51.666666666666664,1.0,72.91666666666667,5.949999999999999,6.445833333333334,1.8090909090909093,0.2,0.48750000000000004,7.4,5.8,54.2,1.3333333333333333,80.89285714285714,7.387142857142857,6.518928571428572,2.832121212121212,0.22857142857142856,0.5267857142857142,5.8,4.2,40.45,1.1428571428571428,76.94074675324676,7.444583333333332,7.170451839826839,2.633030303030303,0.18860544217687075,0.5020785586962058
00-0030506,T.Kelce,TE,KC,1,REG,BAL,3.0,4.0,34.0,,,,27.0,10.0,2.0,3.4729156,,1.2592592,0.14814815,0.16875,0.34034723,3.4,6.4,4.0,3.0,34.0,,75.0,11.333333333333334,8.5,6.75,3.3333333333333335,,0.5,1.2592592,4.0,3.0,34.0,,75.0,8.5,6.75,3.3333333333333335,,0.5,4.0,3.0,34.0,,75.0,8.5,6.75,3.3333333333333335,,0.5,4.0,3.0,34.0,,75.0,8.5,6.75,3.3333333333333335,,0.5
